,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
121,VRE,"Veris Residential, Inc.",1.54B,-0.36%,46540,279.86M
122,RC,Ready Capital Corporation,1.52B,0.06%,295673,630.58M
123,SAFE,Safehold Inc.,1.51B,-0.87%,27686,352.58M
124,GTY,Getty Realty Corp.,1.47B,0.59%,17680,186.42M
125,LTC,"LTC Properties, Inc.",1.39B,-0.37%,21400,197.24M
126,LADR,Ladder Capital Corp,1.39B,-0.23%,48789,264.21M
127,CMTG,"Claros Mortgage Trust, Inc.",1.37B,0.50%,11402,306.55M
128,MMI,"Marcus & Millichap, Inc.",1.33B,-2.97%,41756,645.93M
129,TWO,Two Harbors Investment Corp.,1.32B,1.01%,124303,31.79M
130,BFS,"Saul Centers, Inc.",1.30B,-0.21%,2240,257.21M
131,NTST,NETSTREIT Corp.,1.28B,-0.11%,149850,131.91M
132,PMT,PennyMac Mortgage Investment Trust,1.24B,0.21%,69778,429.02M
133,DEA,"Easterly Government Properties, Inc.",1.22B,-,146035,287.23M
134,ALEX,"Alexander & Baldwin, Inc.",1.21B,-1.08%,22895,208.90M
135,ELME,Elme Communities,1.19B,0.18%,37953,227.91M
136,KW,"Kennedy-Wilson Holdings, Inc.",1.18B,-2.77%,566930,562.60M
137,AHR,"American Healthcare REIT, Inc.",1.16B,-0.43%,43225,1.84B
138,MFA,"MFA Financial, Inc.",1.14B,0.27%,274837,248.45M
139,UMH,"UMH Properties, Inc.",1.13B,-0.25%,33294,220.93M
140,AIV,Apartment Investment and Management Company,1.12B,-0.26%,90321,187.00M
141,ALX,"Alexander's, Inc.",1.10B,-0.16%,1053,224.96M
142,PGRE,"Paramount Group, Inc.",1.10B,-,116545,742.79M
143,SVC,Service Properties Trust,1.09B,-0.30%,109885,1.87B
144,CIM,Chimera Investment Corporation,1.08B,0.78%,301648,252.64M
145,FBRT,"Franklin BSP Realty Trust, Inc.",1.06B,-0.74%,67423,263.95M
146,PLYM,"Plymouth Industrial REIT, Inc.",1.01B,-0.91%,13655,199.85M
147,HPP,"Hudson Pacific Properties, Inc.",985.85M,-0.88%,281826,952.30M
148,EFC,Ellington Financial Inc.,965.93M,0.40%,205466,276.92M
149,ARR,"ARMOUR Residential REIT, Inc.",950.60M,0.33%,264432,-86.22M
150,AHH,"Armada Hoffler Properties, Inc.",938.14M,-0.38%,65909,667.16M
151,CSR,Centerspace,902.97M,-0.15%,3239,261.31M
152,BRSP,"BrightSpire Capital, Inc.",877.40M,0.89%,155136,232.72M
153,RDFN,Redfin Corporation,843.04M,0.57%,1355738,976.67M
154,RWT,"Redwood Trust, Inc.",814.46M,0.08%,210822,165.63M
155,PDM,"Piedmont Office Realty Trust, Inc.",787.37M,-,58865,577.76M
156,BDN,Brandywine Realty Trust,775.68M,-0.33%,187802,514.65M
157,CBL,"CBL & Associates Properties, Inc.",750.36M,-1.20%,5425,535.29M
158,CHCT,Community Healthcare Trust Incorporated,747.39M,-0.39%,8024,112.85M
159,DX,"Dynex Capital, Inc.",731.80M,0.60%,379915,26.75M
160,INN,"Summit Hotel Properties, Inc.",705.81M,-1.75%,63078,736.13M
161,KREF,KKR Real Estate Finance Trust Inc.,693.83M,1.40%,101367,202.81M
162,DHC,Diversified Healthcare Trust,670.77M,-3.76%,172361,1.41B
163,HOUS,Anywhere Real Estate Inc.,658.51M,-0.76%,127422,5.64B
164,NYMT,"New York Mortgage Trust, Inc.",657.80M,0.21%,61645,198.87M
165,GMRE,Global Medical REIT Inc.,627.41M,0.17%,109324,141.05M
166,REAX,The Real Brokerage Inc.,616.30M,2.95%,257698,689.16M
167,WSR,Whitestone REIT,612.20M,-0.94%,29185,144.36M
168,TRTX,"TPG RE Finance Trust, Inc.",585.57M,0.20%,54907,116.39M
169,FRPH,"FRP Holdings, Inc.",582.05M,0.40%,261,41.25M
170,PGRU,PropertyGuru Limited,542.50M,2.55%,22438,113.74M
171,FPI,Farmland Partners Inc.,542.25M,-0.50%,51398,57.47M
172,GOOD,Gladstone Commercial Corporation,541.43M,-1.09%,69134,147.58M
173,UHT,Universal Health Realty Income Trust,537.20M,-0.21%,22203,95.58M
174,SRG,Seritage Growth Properties,529.83M,-0.53%,18151,34.56M
175,CLDT,Chatham Lodging Trust,515.52M,-1.27%,8597,311.11M
176,LSEA,Landsea Homes Corporation,483.41M,-1.23%,75655,1.21B
177,LAND,Gladstone Land Corporation,479.37M,-0.71%,28107,90.40M
178,OLP,"One Liberty Properties, Inc.",474.38M,-0.81%,11913,90.65M
179,FPH,"Five Point Holdings, LLC",447.91M,0.66%,12585,211.73M
