,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
118,KALU,Kaiser Aluminum Corporation,1.21B,-1.40%,29548,3.09B
119,KRO,"Kronos Worldwide, Inc.",1.19B,6.19%,120058,1.67B
120,ORLA,Orla Mining Ltd.,1.17B,1.08%,124780,227.46M
121,SA,Seabridge Gold Inc.,1.14B,0.81%,129913,-
122,KOP,Koppers Holdings Inc.,1.11B,-0.23%,17669,2.15B
123,ECVT,Ecovyst Inc.,1.07B,-0.11%,55323,691.12M
124,CENX,Century Aluminum Company,1.06B,0.09%,159914,2.20B
125,NGD,New Gold Inc.,1.03B,4.67%,4005005,786.50M
126,METC,"Ramaco Resources, Inc.",1.02B,-7.28%,450566,626.02M
127,FSM,Fortuna Silver Mines Inc.,995.76M,3.40%,1886499,842.43M
128,MATV,"Mativ Holdings, Inc.",975.80M,1.11%,90038,2.03B
129,LOMA,Loma Negra Compañía Industrial Argentina SA,935.22M,-0.45%,32392,822.75M
130,MAG,MAG Silver Corp.,931.17M,7.33%,398201,-
131,PRM,"Perimeter Solutions, SA",925.41M,0.87%,71683,322.11M
132,NEXA,Nexa Resources S.A.,913.83M,-0.87%,5707,2.57B
133,SXC,"SunCoke Energy, Inc.",907.30M,1.89%,402999,2.06B
134,MTUS,Metallus Inc,889.20M,0.79%,45627,1.36B
135,SSRM,SSR Mining Inc.,875.27M,1.98%,1010236,1.43B
136,CMP,"Compass Minerals International, Inc.",862.99M,2.11%,74484,1.19B
137,LAC,Lithium Americas Corp.,860.80M,5.55%,1206331,-
138,NG,NovaGold Resources Inc.,857.36M,3.14%,514054,-
139,GSM,Ferroglobe PLC,837.83M,-2.35%,194963,1.65B
140,ASTL,Algoma Steel Group Inc.,836.47M,-1.31%,43527,2.14B
141,LAAC,Lithium Americas (Argentina) Corp.,824.97M,2.80%,289527,-
142,SILV,SilverCrest Metals Inc.,812.15M,14.63%,2379292,224.60M
143,BIOX,Bioceres Crop Solutions Corp.,801.95M,-0.79%,2324,450.32M
144,WLKP,Westlake Chemical Partners LP,788.40M,0.54%,3846,1.19B
145,LVRO,Lavoro Limited,770.20M,2.88%,35,1.90B
146,REX,REX American Resources Corporation,768.41M,-1.71%,8830,845.94M
147,ASIX,AdvanSix Inc.,717.70M,-,11613,1.53B
