,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
115,RNR,RenaissanceRe Holdings Ltd.,12.14B,0.78%,30443,9.13B
116,RGA,"Reinsurance Group of America, Incorporated",11.98B,0.14%,28875,18.57B
117,ARCC,Ares Capital Corporation,11.94B,0.27%,1450733,2.61B
118,CNA,CNA Financial Corporation,11.83B,-0.24%,18160,13.30B
119,BCH,Banco de Chile,11.73B,-0.78%,33894,3.21B
120,GL,Globe Life Inc.,11.58B,-0.04%,195500,5.45B
121,ALLY,Ally Financial Inc.,11.38B,-0.64%,645848,8.21B
122,EQH,"Equitable Holdings, Inc.",11.08B,-0.06%,343416,10.53B
123,AFG,"American Financial Group, Inc.",10.77B,-0.30%,33985,7.83B
124,EWBC,"East West Bancorp, Inc.",10.76B,0.21%,341398,2.48B
125,UWMC,UWM Holdings Corporation,10.63B,0.08%,237786,1.31B
126,AEG,Aegon N.V.,10.39B,-0.34%,469652,-11.08B
127,UNM,Unum Group,9.65B,-0.77%,172909,12.39B
128,AIZ,"Assurant, Inc.",9.28B,-0.74%,44491,11.13B
129,JEF,Jefferies Financial Group Inc.,9.18B,-1.20%,81017,4.70B
130,BSAC,Banco Santander-Chile,9.11B,-0.16%,7959,2.19B
131,SEIC,SEI Investments Company,9.07B,-0.04%,103828,1.92B
132,PRI,"Primerica, Inc.",8.61B,-0.69%,8434,2.82B
133,HLI,"Houlihan Lokey, Inc.",8.61B,-0.35%,24065,1.84B
134,WF,Woori Financial Group Inc.,8.39B,0.06%,6514,8.25B
135,FHN,First Horizon Corporation,8.37B,-0.73%,1369171,3.21B
136,WBS,Webster Financial Corporation,8.36B,0.05%,83706,2.50B
137,MKTX,MarketAxess Holdings Inc.,8.15B,1.82%,160335,752.55M
138,ORI,Old Republic International Corporation,8.05B,0.17%,213669,7.26B
139,CIB,Bancolombia S.A.,8.03B,0.35%,11157,4.25B
140,FUTU,Futu Holdings Limited,7.99B,5.17%,1047334,1.27B
141,SF,Stifel Financial Corp.,7.73B,-1.82%,77507,4.35B
142,EVR,Evercore Inc.,7.59B,-1.36%,188075,2.43B
143,SOFI,"SoFi Technologies, Inc.",7.53B,-0.45%,17036639,2.12B
144,IVZ,Invesco Ltd.,7.13B,-0.82%,457201,5.72B
145,CFR,Cullen Frost Bankers Inc.,6.98B,-0.63%,29822,1.94B
146,CMA,Comerica Incorporated,6.98B,-0.86%,342736,3.50B
147,VOYA,"Voya Financial, Inc.",6.97B,0.19%,155172,7.35B
148,CACC,Credit Acceptance Corporation,6.85B,-0.89%,10352,1.90B
149,CBSH,"Commerce Bancshares, Inc.",6.84B,-0.28%,27616,1.54B
150,RLI,RLI Corp.,6.69B,-0.14%,11926,1.51B
151,WAL,Western Alliance Bancorporation,6.64B,-2.55%,272260,2.56B
152,PNFP,"Pinnacle Financial Partners, Inc.",6.44B,-0.01%,116770,1.60B
153,SSB,SouthState Corporation,6.39B,-0.43%,20620,1.63B
154,SIGI,"Selective Insurance Group, Inc.",6.34B,-0.12%,11787,4.23B
155,MARA,"Marathon Digital Holdings, Inc.",6.28B,-3.71%,29743051,387.51M
156,ZION,"Zions Bancorporation,NA",6.26B,-1.48%,449445,2.98B
157,BPOP,"Popular, Inc.",6.13B,-0.94%,93359,2.57B
158,HLNE,Hamilton Lane Incorporated,6.04B,-0.93%,10011,489.97M
159,WTFC,Wintrust Financial Corporation,6.00B,-0.99%,64358,2.16B
160,PB,"Prosperity Bancshares, Inc.",5.90B,0.22%,47779,1.09B
161,OBDC,Blue Owl Capital Corporation,5.88B,0.07%,423195,1.58B
162,SNV,Synovus Financial Corp.,5.80B,-0.48%,61707,2.03B
163,OMF,"OneMain Holdings, Inc.",5.79B,0.06%,78270,2.56B
164,ESNT,Essent Group Ltd.,5.77B,1.11%,103614,1.11B
165,FAF,First American Financial Corporation,5.75B,0.28%,103492,6.00B
166,BOKF,BOK Financial Corporation,5.67B,-0.83%,20153,2.02B
