,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
150,LMNR,Limoneira Company,330.04M,1.45%,20870,181.73M
151,VSTA,Vasta Platform Limited,320.37M,-0.77%,210525,288.01M
152,LINC,Lincoln Educational Services Corporation,316.96M,0.30%,25716,378.07M
153,DDL,Dingdong (Cayman) Limited,302.85M,3.21%,115794,2.82B
154,AFRI,Forafric Global PLC,282.77M,0.33%,386,280.40M
155,MYND,Mynd.ai Inc,232.88M,-6.25%,3229,38.46M
156,APEI,"American Public Education, Inc.",215.14M,-6.27%,57636,600.55M
157,ALCO,"Alico, Inc.",206.83M,-0.48%,4052,43.24M
158,FREE,"Whole Earth Brands, Inc.",204.44M,0.21%,431534,538.65M
159,HFFG,HF Foods Group Inc.,198.74M,-,8435,1.16B
160,MAMA,"Mama's Creations, Inc.",184.62M,-0.80%,41624,99.38M
161,LWAY,"Lifeway Foods, Inc.",169.83M,-2.98%,6136,153.87M
162,QSG,QuantaSing Group Ltd,153.07M,2.14%,70853,3.49B
163,STG,Sunlands Technology Group,144.84M,2.80%,3488,302.12M
164,ACU,Acme United Corporation,144.79M,-2.73%,11035,191.50M
165,WILC,G. Willi-Food International Ltd.,142.74M,-0.67%,2314,141.13M
166,BIG,"Big Lots, Inc.",129.14M,-3.17%,434468,4.83B
167,DIT,AMCON Distributing Company,125.43M,-,6,2.62B
168,JZ,Jianzhi Education Technology Group Company Limited,111.42M,-5.24%,1334,525.98M
169,IH,iHuman Inc.,108.12M,2.44%,8657,143.60M
170,FTLF,"FitLife Brands, Inc.",99.87M,-6.06%,92,44.77M
171,SKIL,Skillsoft Corp.,96.61M,-0.13%,817,-
172,BRID,Bridgford Foods Corporation,96.12M,-1.79%,141,244.86M
173,ZVIA,Zevia PBC,90.99M,0.35%,21981,166.42M
174,LFVN,LifeVantage Corporation,89.37M,-0.79%,22019,210.95M
175,VFF,"Village Farms International, Inc.",79.15M,2.37%,155664,280.84M
176,AXIL,AXIL Brands Inc.,79.03M,1.97%,283,27.08M
177,FARM,Farmer Bros. Co.,78.61M,2.55%,16836,381.07M
178,DTCK,Davis Commodities Limited,78.56M,5.42%,120177,206.72M
179,GROV,"Grove Collaborative Holdings, Inc.",73.78M,-2.03%,22061,273.46M
180,AIU,Meta Data Limited,61.58M,6.24%,13291,32.43M
181,BEDU,Bright Scholar Education Holdings Limited,60.64M,3.72%,2348,-
182,ATPC,Agape ATP Corporation,59.37M,0.31%,43126,1.43M
183,AACG,ATA Creativity Global,49.30M,1.91%,5546,29.79M
184,UG,"United-Guardian, Inc.",37.72M,-2.19%,384,11.04M
185,NAII,"Natural Alternatives International, Inc.",36.23M,-0.84%,454,127.76M
186,TWOU,"2U, Inc.",35.52M,-2.66%,472823,945.95M
187,COE,51 Talk Online Education Group,34.93M,2.92%,521,24.69M
188,VWE,"Vintage Wine Estates, Inc.",34.74M,-3.91%,68835,278.42M
189,GNS,Genius Group Limited,32.66M,-0.06%,599642,22.55M
190,YQ,17 Education & Technology Group Inc.,30.57M,-4.43%,6335,22.44M
191,MSS,Maison Solutions Inc.,29.54M,5.59%,14773,57.34M
192,SBEV,"Splash Beverage Group, Inc.",28.39M,-1.39%,16254,20.95M
193,LXEH,"Lixiang Education Holding Co., Ltd.",28.13M,13.03%,356157,7.24M
194,WVVI,"Willamette Valley Vineyards, Inc.",25.12M,3.75%,433,39.77M
195,RMCF,"Rocky Mountain Chocolate Factory, Inc.",25.07M,-2.40%,469,26.30M
196,BTOG,Bit Origin Limited,24.70M,10.71%,39295,6.26M
197,DDC,DDC Enterprise Limited,24.00M,-3.08%,3038,28.14M
198,YGF,"YanGuFang International Group Co., Ltd.",23.47M,-,4097,36.08M
199,RGF,"The Real Good Food Company, Inc.",23.41M,-24.64%,519585,156.38M
200,LOCL,Local Bounti Corporation,21.51M,1.19%,14130,27.33M
201,AAGR,African Agriculture Holdings Inc.,20.95M,-4.86%,98722,1.65M
202,FEDU,Four Seasons Education (Cayman) Inc.,20.77M,-,377,11.33M
203,SANW,S&W Seed Company,19.64M,-3.88%,71140,68.01M
204,PLAG,Planet Green Holdings Corp.,19.46M,0.07%,4347,24.26M
205,SDOT,Sadot Group Inc.,17.68M,-1.31%,17427,708.48M
206,TCTM,TCTM Kids IT Education Inc.,16.46M,-3.73%,1624,293.63M
207,STKH,Steakholder Foods Ltd.,15.75M,0.16%,21293,-
