,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
151,NXT,Nextracker Inc.,8.62B,1.49%,632333,2.28B
152,MKSI,"MKS Instruments, Inc.",8.59B,-0.71%,85965,3.62B
153,AMKR,"Amkor Technology, Inc.",8.58B,-3.02%,220242,6.50B
154,CACI,CACI International Inc,8.34B,-1.14%,9696,7.13B
155,DBX,"Dropbox, Inc.",8.26B,-1.19%,1160805,2.50B
156,S,"SentinelOne, Inc.",8.20B,-1.60%,1488144,573.08M
157,APPF,"AppFolio, Inc.",8.17B,-0.02%,16912,620.45M
158,OLED,Universal Display Corporation,8.02B,-0.82%,56623,576.43M
159,WIX,Wix.com Ltd.,7.95B,-1.12%,43901,1.56B
160,DLB,"Dolby Laboratories, Inc.",7.92B,0.56%,26903,1.28B
161,CIEN,Ciena Corporation,7.85B,-4.47%,646931,4.37B
162,DSGX,The Descartes Systems Group Inc.,7.81B,0.21%,137623,572.93M
163,FN,Fabrinet,7.79B,-5.29%,97744,2.72B
164,CCCS,CCC Intelligent Solutions Holdings Inc.,7.64B,-0.71%,621464,866.38M
165,SAIC,Science Applications International Corporation,7.37B,-0.89%,38948,7.68B
166,LYFT,"Lyft, Inc.",7.32B,-2.29%,3032913,4.40B
167,BILL,BILL Holdings Inc,7.22B,-1.44%,307602,1.19B
168,FOUR,"Shift4 Payments, Inc.",7.08B,1.04%,507389,2.56B
169,UI,Ubiquiti Inc.,7.08B,1.44%,12549,1.88B
170,CGNX,Cognex Corporation,7.03B,-0.10%,170506,837.55M
171,YMM,Full Truck Alliance Co. Ltd.,6.98B,2.84%,2636263,1.19B
172,RMBS,Rambus Inc.,6.88B,-3.06%,402968,461.12M
173,SPSC,"SPS Commerce, Inc.",6.82B,-1.26%,21807,536.91M
174,ALTR,Altair Engineering Inc.,6.80B,-0.08%,31502,612.70M
175,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.74B,-0.63%,43707,625.45M
176,VNT,Vontier Corporation,6.68B,-0.83%,71900,3.10B
177,ARW,"Arrow Electronics, Inc.",6.46B,0.03%,61660,33.11B
178,KVYO,"Klaviyo, Inc.",6.38B,-0.57%,228754,698.10M
179,NOVT,Novanta Inc.,6.33B,-1.06%,6309,881.66M
180,QLYS,"Qualys, Inc.",6.24B,0.17%,71819,554.46M
181,G,Genpact Limited,6.21B,-0.96%,163590,4.48B
182,NSIT,"Insight Enterprises, Inc.",6.07B,-2.02%,66941,9.18B
183,ALGM,"Allegro MicroSystems, Inc.",6.02B,0.16%,206293,1.08B
184,LFUS,"Littelfuse, Inc.",5.94B,-0.51%,27186,2.36B
185,SMAR,Smartsheet Inc.,5.63B,-0.05%,665027,913.73M
186,FRSH,Freshworks Inc.,5.55B,2.42%,302391,596.43M
187,CLS,Celestica Inc.,5.50B,-4.43%,2301202,7.96B
188,TENB,"Tenable Holdings, Inc.",5.50B,0.28%,951814,798.71M
189,DV,"DoubleVerify Holdings, Inc.",5.46B,1.79%,532763,572.54M
190,EXLS,"ExlService Holdings, Inc.",5.44B,-0.88%,155051,1.63B
191,VRNS,"Varonis Systems, Inc.",5.43B,-0.56%,99446,499.16M
192,PEGA,Pegasystems Inc.,5.41B,0.29%,60284,1.43B
193,ST,Sensata Technologies Holding plc,5.32B,0.33%,240072,4.05B
194,HCP,"HashiCorp, Inc.",5.30B,-1.07%,647070,583.14M
195,BRZE,"Braze, Inc.",5.29B,-0.17%,86573,439.52M
196,STNE,StoneCo Ltd.,5.24B,-,447921,2.31B
197,ALIT,"Alight, Inc.",5.13B,-0.88%,257727,3.41B
198,EEFT,"Euronet Worldwide, Inc.",5.11B,0.46%,26292,3.69B
199,NVMI,Nova Ltd.,5.09B,-4.12%,91210,517.92M
200,CRUS,"Cirrus Logic, Inc.",4.99B,0.14%,41993,1.79B
201,KD,"Kyndryl Holdings, Inc.",4.97B,0.72%,186510,16.46B
202,DLO,DLocal Limited,4.92B,0.03%,74330,580.77M
203,GBTG,"Global Business Travel Group, Inc.",4.81B,-0.72%,2327,2.27B
204,ASGN,ASGN Incorporated,4.80B,-2.29%,25451,4.45B
205,BMI,"Badger Meter, Inc.",4.73B,-1.87%,12292,703.59M
