,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
121,TTGT,"TechTarget, Inc.",892.37M,0.48%,7572,229.96M
122,KIND,"Nextdoor Holdings, Inc.",885.67M,0.22%,301166,218.31M
123,FVRR,Fiverr International Ltd.,876.99M,0.53%,116640,361.38M
124,CCO,"Clear Channel Outdoor Holdings, Inc.",865.86M,-1.40%,68103,2.13B
125,IMAX,IMAX Corporation,859.93M,1.26%,151524,374.84M
126,DLX,Deluxe Corporation,847.62M,-1.60%,22197,2.19B
127,QNST,"QuinStreet, Inc.",829.94M,-0.26%,13078,549.59M
128,IHS,IHS Holding Limited,799.66M,3.96%,427925,2.14B
129,SBGI,"Sinclair Broadcast Group, Inc.",796.93M,2.63%,105458,3.13B
130,THRY,"Thryv Holdings, Inc.",775.16M,-2.39%,10625,916.96M
131,ASTS,"AST SpaceMobile, Inc.",770.09M,1.00%,833309,-
132,SMWB,Similarweb Ltd.,746.27M,0.42%,25857,218.02M
133,GRPN,"Groupon, Inc.",738.95M,-3.71%,148398,525.35M
134,DDI,"DoubleDown Interactive Co., Ltd.",699.69M,0.49%,28369,308.86M
135,ATEX,Anterix Inc.,666.72M,1.81%,18699,3.54M
136,GTN,"Gray Television, Inc.",573.76M,1.45%,141556,3.28B
137,EVER,"EverQuote, Inc.",564.11M,4.92%,73100,287.92M
138,GRVY,"Gravity Co., Ltd.",531.52M,0.14%,3676,558.92M
139,AMCX,AMC Networks Inc.,516.20M,-0.76%,98889,2.71B
140,ATNI,"ATN International, Inc.",509.83M,-1.03%,5725,755.27M
141,FUBO,fuboTV Inc.,503.17M,1.49%,1881070,1.37B
142,CNSL,"Consolidated Communications Holdings, Inc.",497.65M,-0.35%,76522,1.11B
143,RBBN,Ribbon Communications Inc.,493.24M,-0.70%,34916,826.34M
144,BOC,Boston Omaha Corporation,491.18M,-,17531,94.18M
145,RSVR,"Reservoir Media, Inc.",475.80M,-0.14%,2520,140.52M
146,GDEV,GDEV Inc.,454.10M,-,16,-
147,MCS,The Marcus Corporation,453.00M,-0.35%,19383,729.58M
148,ZH,Zhihu Inc.,446.73M,2.67%,506118,574.22M
149,NN,NextNav Inc.,428.51M,20.44%,669696,3.46M
150,CCG,Cheche Group Inc,421.86M,-3.89%,7945,-
151,EEX,"Emerald Holding, Inc.",380.08M,-1.08%,1959,382.80M
152,NCMI,"National CineMedia, Inc.",379.40M,-2.81%,33737,166.10M
153,NEXN,Nexxen International Ltd,376.42M,-0.20%,8152,331.99M
154,SSP,The E.W. Scripps Company,361.32M,0.23%,54149,2.29B
155,JFIN,Jiayin Group Inc.,344.12M,0.05%,28638,676.85M
156,DRCT,"Direct Digital Holdings, Inc.",335.78M,-5.91%,36010,146.84M
157,TRUE,"TrueCar, Inc.",334.59M,-0.54%,51123,158.71M
158,SOHU,Sohu.com Limited,312.07M,2.92%,15476,600.67M
159,CDLX,"Cardlytics, Inc.",311.28M,4.85%,197416,302.54M
160,GCI,"Gannett Co., Inc.",305.07M,1.95%,130652,2.66B
161,WOW,"WideOpenWest, Inc.",290.21M,1.15%,70772,698.40M
162,MYPS,"PLAYSTUDIOS, Inc.",286.83M,0.47%,39165,313.15M
163,IHRT,"iHeartMedia, Inc.",283.82M,-2.17%,117972,3.75B
164,CTV,Innovid Corp.,283.65M,-,65660,139.88M
165,ADTH,"AdTheorent Holding Company, Inc.",260.31M,-1.86%,12391,162.93M
166,OOMA,"Ooma, Inc.",240.97M,-3.96%,12339,231.56M
167,SIFY,Sify Technologies Limited,239.51M,-0.76%,60212,421.93M
168,DOYU,DouYu International Holdings Limited,231.52M,4.10%,601869,813.69M
169,HAO,Haoxi Health Technology Limited,212.89M,1.64%,2742,28.23M
170,OB,Outbrain Inc.,191.94M,0.91%,31099,935.82M
