,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
131,MNR,Mach Natural Resources LP,1.73B,-1.95%,39208,817.06M
132,DKL,"Delek Logistics Partners, LP",1.70B,0.59%,35921,1.02B
133,DK,"Delek US Holdings, Inc.",1.70B,-0.15%,291763,16.92B
134,BORR,Borr Drilling Limited,1.65B,2.30%,501171,771.60M
135,DNN,Denison Mines Corp.,1.64B,-1.63%,3521680,1.39M
136,KRP,"Kimbell Royalty Partners, LP",1.64B,-0.76%,81332,294.07M
137,RES,"RPC, Inc.",1.63B,-0.60%,274713,1.62B
138,GLP,Global Partners LP,1.61B,-0.64%,3598,16.49B
139,DNOW,NOW Inc.,1.56B,-0.61%,69535,2.32B
140,LPG,Dorian LPG Ltd.,1.53B,-0.78%,157220,552.96M
141,WKC,World Kinect Corporation,1.47B,-2.58%,64827,47.71B
142,HLX,"Helix Energy Solutions Group, Inc.",1.46B,-1.26%,257216,1.29B
143,GEL,"Genesis Energy, L.P.",1.37B,-0.54%,21445,3.18B
144,FLNG,FLEX LNG Ltd.,1.37B,-1.29%,53134,371.02M
145,NEXT,NextDecade Corporation,1.32B,-0.78%,108696,-
146,DO,"Diamond Offshore Drilling, Inc.",1.26B,0.81%,254618,1.06B
147,DMLP,"Dorchester Minerals, L.P.",1.25B,0.06%,17011,163.80M
148,ACDC,ProFrac Holding Corp.,1.24B,-1.79%,67633,2.93B
149,CLMT,"Calumet Specialty Products Partners, L.P.",1.22B,-0.46%,10163,4.18B
150,NRP,Natural Resource Partners L.P.,1.17B,1.71%,1192,370.01M
151,NVGS,Navigator Holdings Ltd.,1.10B,-,29846,532.39M
152,MRC,MRC Global Inc.,1.03B,-1.89%,58292,3.41B
153,WTTR,"Select Energy Services, Inc.",1.00B,1.77%,294913,1.59B
154,UUUU,Energy Fuels Inc.,996.86M,0.25%,640954,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",918.31M,0.68%,135898,1.55B
156,PDS,Precision Drilling Corporation,902.07M,-0.66%,7115,1.46B
157,SBR,Sabine Royalty Trust,890.21M,-0.15%,7968,93.01M
158,CAPL,CrossAmerica Partners LP,834.49M,-0.18%,4617,4.39B
159,PUMP,ProPetro Holding Corp.,803.61M,-1.63%,321373,1.63B
160,DRQ,"Dril-Quip, Inc.",783.60M,-0.53%,23633,424.06M
161,NBR,Nabors Industries Ltd.,783.15M,-0.46%,18884,3.05B
162,SBOW,"SilverBow Resources, Inc.",782.47M,0.08%,23304,652.36M
163,EFXT,Enerflex Ltd.,776.63M,-0.32%,16129,2.38B
164,NGL,NGL Energy Partners LP,772.55M,0.09%,29594,7.38B
165,CLB,Core Laboratories N.V.,743.83M,-1.47%,48563,509.79M
166,EU,enCore Energy Corp.,737.51M,0.39%,190982,-
167,VTOL,Bristow Group Inc.,725.76M,-0.76%,9663,1.30B
168,TNP,Tsakos Energy Navigation Limited,701.64M,-1.68%,70595,860.40M
169,VTS,"Vitesse Energy, Inc.",682.45M,-0.17%,24298,233.91M
170,TELL,Tellurian Inc.,676.77M,8.97%,18373458,166.13M
171,NOA,North American Construction Group Ltd.,674.64M,-0.83%,6386,640.25M
172,TK,Teekay Corporation,653.42M,-1.04%,72948,1.52B
173,LEU,Centrus Energy Corp.,627.81M,-1.80%,36996,320.20M
174,CLNE,Clean Energy Fuels Corp.,600.51M,-0.19%,289975,425.16M
175,NR,"Newpark Resources, Inc.",586.19M,-2.11%,112494,749.60M
176,DEC,Diversified Energy Company PLC,568.58M,-,61613,-
