,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
207,JWN,"Nordstrom, Inc.",2.77B,0.62%,872710,14.59B
208,LEG,"Leggett & Platt, Incorporated",2.74B,0.24%,330913,4.73B
209,BOOT,"Boot Barn Holdings, Inc.",2.71B,-2.33%,101607,1.70B
210,CCS,"Century Communities, Inc.",2.68B,0.20%,46486,3.69B
211,LGIH,"LGI Homes, Inc.",2.64B,-0.63%,101436,2.36B
212,ZKH,ZKH Group Limited,2.63B,0.68%,58574,1.16B
213,MODG,Topgolf Callaway Brands Corp.,2.60B,-0.71%,212893,4.28B
214,BLMN,"Bloomin' Brands, Inc.",2.59B,-4.09%,228897,4.67B
215,PATK,"Patrick Industries, Inc.",2.51B,-2.28%,21613,3.47B
216,ATAT,Atour Lifestyle Holdings Limited,2.50B,4.30%,81226,520.90M
217,OI,"O-I Glass, Inc.",2.50B,0.18%,177868,7.11B
218,FTDR,"Frontdoor, Inc.",2.47B,-0.35%,90775,1.78B
219,ARCO,Arcos Dorados Holdings Inc.,2.43B,-0.39%,48273,4.18B
220,DRVN,Driven Brands Holdings Inc.,2.42B,0.51%,145673,2.30B
221,MCW,"Mister Car Wash, Inc.",2.42B,0.13%,119600,927.07M
222,GRBK,"Green Brick Partners, Inc.",2.36B,-1.38%,25352,1.78B
223,PTVE,Pactiv Evergreen Inc.,2.36B,-0.53%,25984,5.51B
224,PZZA,"Papa John's International, Inc.",2.30B,0.53%,57254,2.14B
225,MBC,"MasterBrand, Inc.",2.29B,-1.64%,88268,2.73B
226,GTX,Garrett Motion Inc.,2.28B,-0.63%,86614,3.89B
227,FL,"Foot Locker, Inc.",2.28B,1.20%,1217811,8.13B
228,MLKN,"MillerKnoll, Inc.",2.21B,-3.06%,125599,3.81B
229,SIX,Six Flags Entertainment Corporation,2.21B,-0.06%,89039,1.43B
230,EAT,"Brinker International, Inc.",2.17B,-3.71%,182898,4.25B
231,FUN,"Cedar Fair, L.P.",2.17B,-0.78%,7565,1.80B
232,FOXF,Fox Factory Holding Corp.,2.16B,0.11%,38715,1.46B
233,SG,"Sweetgreen, Inc.",2.12B,0.85%,316470,584.04M
234,ARHS,"Arhaus, Inc.",2.09B,-2.21%,137257,1.30B
235,AMBP,Ardagh Metal Packaging S.A.,2.07B,0.87%,185587,4.81B
236,HBI,Hanesbrands Inc.,1.96B,-3.58%,1103349,5.64B
237,BKE,"The Buckle, Inc.",1.93B,-1.51%,37406,1.28B
238,CAKE,The Cheesecake Factory Incorporated,1.89B,-3.09%,195627,3.44B
239,ODP,The ODP Corporation,1.89B,-0.44%,23776,7.83B
240,WGO,"Winnebago Industries, Inc.",1.88B,-1.16%,74464,3.30B
241,EYE,"National Vision Holdings, Inc.",1.86B,-1.78%,84607,2.13B
242,VSTO,Vista Outdoor Inc.,1.85B,-0.31%,51849,2.79B
243,SAH,"Sonic Automotive, Inc.",1.77B,-0.59%,12162,14.37B
244,DAN,Dana Incorporated,1.76B,-0.04%,140468,10.56B
245,THRM,Gentherm Incorporated,1.76B,-0.36%,14251,1.47B
246,SGHC,Super Group (SGHC) Limited,1.74B,-0.57%,78046,1.49B
247,KAR,Openlane Inc.,1.73B,-1.37%,69641,1.65B
248,PTON,"Peloton Interactive, Inc.",1.72B,2.56%,3368675,2.73B
249,LVWR,"LiveWire Group, Inc.",1.66B,-1.95%,620,38.02M
250,OXM,"Oxford Industries, Inc.",1.65B,-0.35%,42877,1.55B
251,CNNE,"Cannae Holdings, Inc.",1.59B,0.23%,99831,570.00M
252,CBRL,"Cracker Barrel Old Country Store, Inc.",1.57B,-3.14%,101418,3.43B
253,PHIN,PHINIA Inc.,1.57B,4.03%,289597,3.50B
254,LZB,La-Z-Boy Incorporated,1.56B,-2.49%,97405,2.05B
255,BYON,"Beyond, Inc.",1.55B,-3.62%,211841,1.56B
256,AMWD,American Woodmark Corporation,1.52B,-2.60%,13664,1.88B
257,FWRG,"First Watch Restaurant Group, Inc.",1.50B,-3.18%,151373,891.55M
258,RVLV,"Revolve Group, Inc.",1.46B,3.89%,168069,1.07B
259,LESL,"Leslie's, Inc.",1.44B,1.22%,357782,1.43B
260,JACK,Jack in the Box Inc.,1.42B,-0.26%,42748,1.65B
261,XPEL,"XPEL, Inc.",1.41B,-0.73%,7695,396.29M
262,VSCO,Victoria's Secret & Co.,1.40B,2.70%,1204892,6.12B
263,GES,"Guess', Inc.",1.38B,-1.44%,59494,2.70B
264,GIII,"G-III Apparel Group, Ltd.",1.35B,-2.20%,63168,3.19B
265,SBH,"Sally Beauty Holdings, Inc.",1.35B,-5.84%,340486,3.70B
266,CAL,"Caleres, Inc.",1.33B,-1.79%,32084,2.82B
267,RSI,"Rush Street Interactive, Inc.",1.32B,-0.77%,258900,691.16M
268,MCRI,"Monarch Casino & Resort, Inc.",1.32B,3.50%,39091,501.48M
269,PLYA,Playa Hotels & Resorts N.V.,1.31B,-0.52%,66076,977.50M
270,MSC,Studio City International Holdings Limited,1.30B,-0.80%,102,445.54M
271,OSW,OneSpaWorld Holdings Limited,1.27B,-0.35%,38752,794.05M
272,OLPX,"Olaplex Holdings, Inc.",1.27B,-1.30%,196300,458.30M
273,GOOS,Canada Goose Holdings Inc.,1.26B,-1.01%,195260,954.14M
274,CWH,"Camping World Holdings, Inc.",1.25B,-2.45%,138674,6.23B
275,WINA,Winmark Corporation,1.24B,-1.35%,5621,83.24M
276,CARS,Cars.com Inc.,1.23B,-1.71%,19031,689.18M
277,NWTN,NWTN Inc.,1.21B,15.80%,125100,583.00K
278,SHCO,Soho House & Co Inc.,1.18B,-1.49%,11437,1.12B
279,EXTO,Almacenes Éxito S.A.,1.13B,0.58%,6520,5.45B
280,KRUS,"Kura Sushi USA, Inc.",1.07B,-1.91%,6771,199.59M
281,BLBD,Blue Bird Corporation,1.04B,-0.52%,84235,1.21B
282,TRS,TriMas Corporation,1.02B,-1.41%,13321,893.55M
283,BZH,"Beazer Homes USA, Inc.",981.05M,-2.38%,34727,2.15B
284,MNRO,"Monro, Inc.",970.62M,-1.88%,48362,1.28B
285,NGMS,NeoGames S.A.,969.94M,-0.03%,6847,191.54M
286,ACEL,"Accel Entertainment, Inc.",959.55M,-1.44%,46775,1.17B
287,FIGS,"FIGS, Inc.",953.20M,0.27%,507621,545.65M
288,GDEN,"Golden Entertainment, Inc.",942.36M,0.40%,20772,1.05B
289,HIBB,"Hibbett, Inc.",911.84M,-4.12%,25170,1.72B
290,HOV,"Hovnanian Enterprises, Inc.",907.09M,-3.00%,20949,2.83B
291,TILE,"Interface, Inc.",900.95M,-2.49%,31684,1.26B
292,EVGO,"EVgo, Inc.",874.40M,-5.34%,1357816,160.95M
293,LAZR,"Luminar Technologies, Inc.",873.31M,-0.97%,2322987,69.78M
294,BJRI,"BJ's Restaurants, Inc.",863.88M,-1.65%,39090,1.33B
295,SCVL,"Shoe Carnival, Inc.",857.63M,-1.76%,17339,1.19B
296,PTLO,Portillo's Inc.,852.52M,0.36%,110283,679.91M
297,MBUU,"Malibu Boats, Inc.",851.96M,-1.44%,23864,1.21B
298,ETD,Ethan Allen Interiors Inc.,839.96M,-1.30%,27154,704.86M
299,CHPT,"ChargePoint Holdings, Inc.",808.32M,3.39%,5248920,543.63M
300,SABR,Sabre Corporation,804.50M,-1.65%,884875,2.91B
