,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
157,DRS,"Leonardo DRS, Inc.",6.15B,-2.26%,78105,2.83B
158,ESAB,ESAB Corporation,6.07B,-1.11%,49729,2.77B
159,GTLS,"Chart Industries, Inc.",6.06B,2.01%,98206,3.35B
160,TKR,The Timken Company,6.05B,-1.29%,36852,4.77B
161,ADT,ADT Inc.,6.00B,-,2015196,4.98B
162,MLI,"Mueller Industries, Inc.",5.88B,-0.34%,120554,3.42B
163,GXO,"GXO Logistics, Inc.",5.87B,-0.43%,101839,9.78B
164,FTAI,FTAI Aviation Ltd,5.71B,-1.95%,118708,1.17B
165,FLS,Flowserve Corporation,5.69B,-0.48%,84943,4.32B
166,MSM,"MSC Industrial Direct Co., Inc.",5.58B,-2.61%,61019,4.01B
167,LPX,Louisiana-Pacific Corporation,5.56B,-1.01%,195591,2.58B
168,BECN,"Beacon Roofing Supply, Inc.",5.54B,-2.67%,51945,9.12B
169,ZWS,Zurn Elkay Water Solutions Corporation,5.50B,-1.38%,96459,1.53B
170,CWST,"Casella Waste Systems, Inc.",5.41B,0.09%,28596,1.26B
171,AWI,"Armstrong World Industries, Inc.",5.35B,-1.65%,22621,1.30B
172,SPXC,"SPX Technologies, Inc.",5.28B,-1.52%,10645,1.74B
173,MMS,"Maximus, Inc.",5.22B,-0.86%,19148,4.98B
174,KEX,Kirby Corporation,5.15B,-0.90%,34850,3.09B
175,R,"Ryder System, Inc.",5.04B,-0.84%,30127,11.78B
176,FSS,Federal Signal Corporation,4.91B,-2.60%,31165,1.72B
177,AL,Air Lease Corporation,4.86B,0.62%,327306,2.68B
178,MOG.A,Moog Inc.,4.86B,-2.94%,9501,3.42B
179,MOG.B,Moog Inc.,4.86B,-0.91%,54,3.42B
180,SRCL,"Stericycle, Inc.",4.83B,-1.86%,65928,2.66B
181,GATX,GATX Corporation,4.71B,-0.78%,12722,1.41B
182,FELE,"Franklin Electric Co., Inc.",4.69B,-1.03%,11312,2.07B
183,AVAV,"AeroVironment, Inc.",4.68B,-1.73%,118245,705.78M
184,ALK,"Alaska Air Group, Inc.",4.61B,-0.15%,437106,10.43B
185,MDU,"MDU Resources Group, Inc.",4.60B,-0.58%,141706,4.66B
186,HRI,Herc Holdings Inc.,4.43B,-2.63%,34038,3.28B
187,VMI,"Valmont Industries, Inc.",4.35B,-0.64%,24695,4.17B
188,GTES,Gates Industrial Corporation plc,4.22B,-0.34%,297395,3.57B
189,CPA,"Copa Holdings, S.A.",4.20B,-0.14%,23658,2.97B
190,DY,"Dycom Industries, Inc.",4.16B,-3.26%,71065,4.18B
191,SPR,"Spirit AeroSystems Holdings, Inc.",4.15B,-3.49%,1075584,6.05B
192,ACA,"Arcosa, Inc.",4.11B,-0.89%,17212,2.31B
193,SNDR,"Schneider National, Inc.",4.08B,-0.82%,134926,5.50B
194,EXPO,"Exponent, Inc.",4.08B,-0.67%,20502,536.77M
195,CAR,"Avis Budget Group, Inc.",3.97B,0.57%,61949,12.01B
196,ERJ,Embraer S.A.,3.94B,-0.47%,373779,4.54B
197,TEX,Terex Corporation,3.92B,-0.53%,67166,5.15B
198,AEIS,"Advanced Energy Industries, Inc.",3.87B,-1.92%,27258,1.66B
199,KAI,Kadant Inc.,3.83B,-1.02%,7706,957.67M
200,CBZ,"CBIZ, Inc.",3.83B,-1.74%,39263,1.59B
201,JOBY,"Joby Aviation, Inc.",3.80B,2.87%,1672556,1.23M
202,ENS,EnerSys,3.79B,-1.12%,10816,3.66B
203,NSP,"Insperity, Inc.",3.77B,-0.46%,28958,6.49B
204,VRRM,Verra Mobility Corporation,3.76B,-0.99%,93069,817.31M
205,BCO,The Brink's Company,3.74B,-1.35%,14767,4.87B
